epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,832.125,0.9847,1.13965,1.33512,0.84266,0.29252,0.30529,0.11992,2.66086,2.51848,3.69938,0.000396262,0.000396262,0.000396262
75,844.68,0.99771,1.08874,1.35683,0.76009,0.24576,0.25888,0.09904,2.69921,2.62668,3.62887,0.000382115,0.000382115,0.000382115
76,855.787,0.95875,1.05416,1.33312,0.39922,0.24194,0.26983,0.10474,2.70674,2.61122,3.6062,0.000367967,0.000367967,0.000367967
77,865.433,0.96332,1.08487,1.34354,0.39771,0.22523,0.3035,0.12197,2.6676,2.72288,3.53218,0.00035382,0.00035382,0.00035382
78,879.139,0.97301,1.10875,1.35887,0.39162,0.26222,0.30231,0.13417,2.62091,2.64367,3.59003,0.000339673,0.000339673,0.000339673
79,891.255,0.90269,0.99619,1.28668,0.42891,0.26164,0.31709,0.13819,2.58995,2.37278,3.52452,0.000325526,0.000325526,0.000325526
80,901.939,0.90333,1.092,1.27243,0.43705,0.26812,0.29063,0.13618,2.62668,2.51684,3.62265,0.000311379,0.000311379,0.000311379
81,912.37,0.93466,1.0414,1.31445,0.4468,0.26812,0.28281,0.10483,2.59679,2.70262,3.45717,0.000297232,0.000297232,0.000297232
82,924.042,0.87445,0.97013,1.25995,0.73613,0.18357,0.22089,0.08617,2.57961,2.83067,3.37122,0.000283085,0.000283085,0.000283085
83,935.108,0.92142,0.97608,1.28675,0.79479,0.19807,0.22833,0.0917,2.64164,2.79194,3.5047,0.000268938,0.000268938,0.000268938
84,944.92,0.91328,0.97788,1.29766,0.86311,0.19807,0.23275,0.11254,2.52696,2.74128,3.49197,0.000254791,0.000254791,0.000254791
85,956.872,0.82164,0.93185,1.24313,0.85372,0.20742,0.22626,0.10817,2.52173,2.87394,3.41216,0.000240644,0.000240644,0.000240644
86,968.161,0.89306,0.99506,1.28555,0.71922,0.21256,0.20852,0.09747,2.64875,2.75061,3.57565,0.000226497,0.000226497,0.000226497
87,977.791,0.88371,0.94526,1.29523,0.36455,0.28065,0.23772,0.11508,2.55013,2.77249,3.43009,0.000212349,0.000212349,0.000212349
88,989.913,0.83063,0.95219,1.26365,0.82977,0.20992,0.23646,0.09936,2.59432,2.77301,3.42037,0.000198202,0.000198202,0.000198202
89,1000.94,0.8088,0.90183,1.22179,0.82344,0.21049,0.23979,0.10063,2.63762,2.70584,3.52838,0.000184055,0.000184055,0.000184055
90,1011.2,0.8369,0.92513,1.23254,0.31917,0.26812,0.27128,0.11671,2.62028,2.66097,3.51918,0.000169908,0.000169908,0.000169908
91,1024.12,0.78193,0.80908,1.22637,0.44619,0.25362,0.24024,0.12161,2.64234,2.48603,3.62344,0.000155761,0.000155761,0.000155761
92,1035.81,0.77521,0.73532,1.22262,0.79089,0.25362,0.252,0.12503,2.55607,2.5865,3.48085,0.000141614,0.000141614,0.000141614
93,1045.06,0.70703,0.70267,1.16795,0.81204,0.25362,0.27241,0.125,2.60547,2.48703,3.51921,0.000127467,0.000127467,0.000127467
94,1056.85,0.74589,0.70593,1.22175,0.77955,0.26218,0.29044,0.12344,2.60781,2.51013,3.58629,0.00011332,0.00011332,0.00011332
95,1067.83,0.69362,0.67431,1.1695,0.33169,0.25844,0.24468,0.11612,2.55546,2.60378,3.52856,9.91726e-05,9.91726e-05,9.91726e-05
96,1077.48,0.69919,0.65416,1.16758,0.33724,0.25733,0.24781,0.1142,2.55358,2.57204,3.50716,8.50255e-05,8.50255e-05,8.50255e-05
97,1089.06,0.70794,0.66162,1.18139,0.34008,0.26437,0.27189,0.12851,2.5336,2.55867,3.54862,7.08784e-05,7.08784e-05,7.08784e-05
98,1100.61,0.67467,0.62761,1.1578,0.32494,0.25185,0.23804,0.11771,2.54997,2.57079,3.56915,5.67313e-05,5.67313e-05,5.67313e-05
99,1112.32,0.67688,0.62969,1.13617,0.76405,0.25276,0.2631,0.12972,2.55632,2.58772,3.53662,4.25842e-05,4.25842e-05,4.25842e-05
100,1124.09,0.69896,0.65266,1.16365,0.76667,0.25362,0.25259,0.1239,2.56121,2.62507,3.52179,2.84371e-05,2.84371e-05,2.84371e-05
